Time [s],Packet ID,MOSI,MISO
2.254857520000000,0,0xFC,0x00
2.254864320000000,0,0x00,0x02
2.254871140000000,0,0x00,0x0A
2.254880040000000,1,0x6C,0x00
2.254886860000000,1,0x33,0x00
2.254895520000000,2,0x90,0x00
2.254902320000000,2,0x37,0x0A
2.254910920000000,3,0x68,0x00
2.254917760000000,3,0x36,0x08
2.254924580000000,3,0x36,0x08
2.254931420000000,3,0x36,0x09
2.254938240000000,3,0x36,0x09
2.254945080000000,3,0x3F,0x12
2.254951880000000,3,0x3F,0x12
2.254958740000000,3,0x3F,0x13
2.254965540000000,3,0x3F,0x13
2.254974240000000,4,0x9C,0x00
2.254981100000000,4,0x55,0x55
2.254987900000000,4,0x40,0x40
2.254994760000000,4,0x00,0x00
2.255001560000000,4,0x3F,0x3F
2.255008420000000,4,0x24,0x24
2.255017020000000,5,0x88,0x00
2.255023820000000,5,0x00,0x00
2.255030640000000,5,0x08,0x00
2.255037460000000,5,0x00,0x00
2.255044280000000,5,0x00,0x00
2.255052880000000,6,0x9C,0x00
2.255059680000000,6,0x55,0x55
2.255066500000000,6,0x40,0x40
2.255073300000000,6,0x00,0x00
2.255080100000000,6,0x3F,0x3F
2.255086900000000,6,0x34,0x24
2.255095540000000,7,0x8C,0x00
2.255102340000000,7,0x32,0x02
2.255111060000000,8,0xA8,0x00
2.255117900000000,8,0x0F,0x0F
2.255124700000000,8,0x1E,0x1E
2.255133380000000,9,0x5C,0x00
2.255140220000000,9,0x0B,0x03
2.255149400000000,10,0xA0,0x00
2.255156260000000,10,0x0A,0x00
2.255163060000000,10,0x01,0x00
2.399992920000000,11,0xA0,0x00
2.400036520000000,11,0x0A,0x0A
2.400079780000000,11,0x01,0x01
2.400697000000000,12,0x1C,0x00
2.400761500000000,12,0x00,0xFF
2.428392540000000,13,0x24,0x00
2.429008440000000,14,0x1C,0x00
2.429066900000000,14,0x00,0x00
2.429139840000000,15,0xA0,0x00
2.429183100000000,15,0x0A,0x0A
2.429226360000000,15,0x01,0x01
2.429843720000000,16,0x1C,0x00
2.429886640000000,16,0x00,0x00
2.457539940000000,17,0x24,0x00
2.458155020000000,18,0x1C,0x00
2.458197940000000,18,0x00,0x00
2.485261620000000,19,0x24,0x00
2.485899160000000,20,0x1C,0x00
2.485942080000000,20,0x00,0x00
2.486014700000000,21,0xA0,0x00
2.486057960000000,21,0x0A,0x0A
2.486101220000000,21,0x01,0x01
2.486718560000000,22,0x1C,0x00
2.486785440000000,22,0x00,0x00
2.514407800000000,23,0x24,0x00
2.515023660000000,24,0x1C,0x00
2.515088000000000,24,0x00,0x00
2.515712400000000,25,0xA0,0x00
2.515756000000000,25,0x0A,0x0A
2.515799260000000,25,0x01,0x01
2.516438120000000,26,0x1C,0x00
2.516481040000000,26,0x00,0x00
2.544112060000000,27,0x24,0x00
2.544742560000000,28,0x1C,0x00
2.544785500000000,28,0x00,0x00
2.571863900000000,29,0x24,0x00
2.572479060000000,30,0x1C,0x00
2.572521980000000,30,0x00,0x00
2.599598980000000,31,0x24,0x00
2.600236760000000,32,0x1C,0x00
2.600279660000000,32,0x00,0x00
2.627332840000000,33,0x24,0x00
2.627977520000000,34,0x1C,0x00
2.628020460000000,34,0x00,0x00
2.655088280000000,35,0x24,0x00
2.655703340000000,36,0x1C,0x00
2.655767500000000,36,0x00,0x00
2.682827700000000,37,0x24,0x00
2.683464720000000,38,0x1C,0x00
2.683507640000000,38,0x00,0x00
2.710573540000000,39,0x24,0x00
2.711188560000000,40,0x1C,0x00
2.711231480000000,40,0x00,0x00
2.738312700000000,41,0x24,0x00
2.738943120000000,42,0x1C,0x00
2.738986060000000,42,0x00,0x00
2.766061020000000,43,0x24,0x00
